Date,Open,High,Low,Close,Volume
2025-09-08 00:00:00+05:30,169.25,172.45,168.45,168.85,1643011
2025-09-09 00:00:00+05:30,169.1,169.8,168.0,169.15,1189204
2025-09-10 00:00:00+05:30,169.15,170.7,168.3,169.35,1843576
2025-09-11 00:00:00+05:30,169.2,170.85,168.5,169.4,657665
2025-09-12 00:00:00+05:30,169.8,171.0,168.6,169.8,1234298
2025-09-15 00:00:00+05:30,169.6,170.2,168.6,169.2,1933165
2025-09-16 00:00:00+05:30,168.6,172.3,168.6,172.0,1714698
2025-09-17 00:00:00+05:30,172.6,172.6,169.3,171.25,1225524
2025-09-18 00:00:00+05:30,171.65,172.25,169.8,172.0,1025203
2025-09-19 00:00:00+05:30,171.9,172.6,170.5,171.5,1040051
2025-09-22 00:00:00+05:30,170.4,172.2,170.4,171.35,1093309
2025-09-23 00:00:00+05:30,171.35,173.8,171.15,173.25,1642861
2025-09-24 00:00:00+05:30,173.4,174.35,172.4,172.7,1010448
2025-09-25 00:00:00+05:30,172.6,173.9,171.85,172.3,1346330
2025-09-26 00:00:00+05:30,172.45,173.3,167.15,167.45,663772
2025-09-29 00:00:00+05:30,167.45,170.25,167.45,169.05,674725
2025-09-30 00:00:00+05:30,169.5,170.25,168.35,168.7,841187
2025-10-01 00:00:00+05:30,168.7,169.8,166.05,167.5,2058940
2025-10-03 00:00:00+05:30,167.8,174.7,167.8,173.2,2937112
2025-10-06 00:00:00+05:30,172.85,173.55,169.3,169.95,1820741
2025-10-07 00:00:00+05:30,170.15,172.2,170.15,171.4,1157174
2025-10-08 00:00:00+05:30,171.8,173.65,170.1,171.85,2483705
2025-10-09 00:00:00+05:30,172.55,177.85,172.55,176.4,7972981
2025-10-10 00:00:00+05:30,176.2,176.2,172.75,173.8,1628547
2025-10-13 00:00:00+05:30,172.4,173.85,171.05,172.95,816382
2025-10-14 00:00:00+05:30,174.2,176.2,169.25,170.4,882765
2025-10-15 00:00:00+05:30,170.8,173.95,170.1,173.15,567138
2025-10-16 00:00:00+05:30,172.75,174.4,172.2,174.05,732680
2025-10-17 00:00:00+05:30,173.4,174.25,171.0,172.25,1861036
2025-10-20 00:00:00+05:30,173.05,173.35,170.8,171.9,1036618
2025-10-21 00:00:00+05:30,171.85,173.25,171.85,172.8,323998
2025-10-23 00:00:00+05:30,173.2,176.0,173.2,174.1,4453408
2025-10-24 00:00:00+05:30,174.45,177.3,173.7,174.5,1791097
2025-10-27 00:00:00+05:30,175.4,177.85,175.4,176.6,2114987
2025-10-28 00:00:00+05:30,176.9,182.1,176.9,181.85,4099313
2025-10-29 00:00:00+05:30,183.0,187.0,182.0,185.15,3979455
2025-10-30 00:00:00+05:30,185.1,185.1,182.55,184.35,1198104
2025-10-31 00:00:00+05:30,183.75,184.25,182.2,182.95,642210
2025-11-03 00:00:00+05:30,182.25,184.1,181.8,182.65,1474266
2025-11-04 00:00:00+05:30,182.95,183.1,178.9,179.25,758037
2025-11-06 00:00:00+05:30,179.35,180.7,176.5,177.25,914344
2025-11-07 00:00:00+05:30,177.25,182.2,175.05,181.45,957768
